Rank,Countries,Node_Count,Avg_Weight,Variance,Score
1,"AUT, BEL, DNK, ESP, FIN, FRA, HUN, IRL, ITA, PRT",10,11.56,1.358,1.1938
2,"AUT, BEL, DNK, ESP, FIN, FRA, HUN, IRL, POL, PRT",10,11.51,1.3165,1.189
3,"AUT, BEL, DNK, ESP, HUN, ITA, SVK",7,11.71,1.0612,0.9474
4,"AUT, BEL, DNK, ESP, HUN, POL, SVK",7,11.57,1.1973,0.8645
5,"BEL, DNK, FIN, FRA, GBR, IRL, PRT",7,11.76,1.8005,0.779
6,"AUT, BEL, FIN, FRA, NOR, POL, PRT",7,11.24,1.1338,0.766
7,"BEL, DNK, FIN, FRA, GBR, PRT, SWE",7,11.52,1.5828,0.7518
8,"BEL, DEU, FIN, FRA, GBR, PRT, SWE",7,11.19,1.2018,0.7327
9,"AUT, BEL, ESP, IRL, ITA, NLD",6,11.33,1.0222,0.7016
10,"BEL, DEU, FIN, FRA, GBR, NOR, PRT",7,11.0,1.2381,0.6583
11,"EST, LTU, LVA",3,12.0,0.6667,0.644
12,"AUT, BEL, CZE, ESP, POL, SVK",6,11.2,1.36,0.5714
13,"BEL, CZE, ESP, JPN, POL, SVK",6,10.73,0.7289,0.5692
14,"BEL, CZE, JPN, NOR, POL",5,10.8,0.36,0.5593
15,"BGR, HRV, ROU",3,12.33,1.5556,0.5361
16,"AUT, BEL, CZE, NOR, POL",5,10.9,0.69,0.5111
17,"AUT, BEL, CZE, ESP, NLD",5,11.2,1.36,0.4464
18,"BEL, DEU, GBR, NLD, NOR",5,10.7,0.81,0.4125
19,"AUT, BEL, CZE, NLD, NOR",5,10.7,1.01,0.3625
