Rank,Members,Size,Avg Weight,Variance,New_Node_Count,New_Nodes,Common_Policies
1,"AUT, BEL, DNK, ESP, FIN, FRA, HUN, IRL, ITA, PRT",10,11.56,1.358,10,"AUT, BEL, DNK, ESP, FIN, FRA, HUN, IRL, ITA, PRT","Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
2,"AUT, BEL, DNK, ESP, FIN, FRA, HUN, IRL, POL, PRT",10,11.51,1.3165,1,POL,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
3,"BEL, DNK, FIN, FRA, GBR, IRL, PRT",7,11.76,1.8005,1,GBR,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
4,"AUT, BEL, DNK, ESP, HUN, ITA, SVK",7,11.71,1.0612,1,SVK,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
5,"BEL, DNK, FIN, FRA, GBR, PRT, SWE",7,11.52,1.5828,1,SWE,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
6,"AUT, BEL, FIN, FRA, NOR, POL, PRT",7,11.24,1.1338,1,NOR,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
7,"BEL, DEU, FIN, FRA, GBR, PRT, SWE",7,11.19,1.2018,1,DEU,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
8,"AUT, BEL, ESP, IRL, ITA, NLD",6,11.33,1.0222,1,NLD,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
9,"AUT, BEL, CZE, ESP, POL, SVK",6,11.2,1.36,1,CZE,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
10,"BEL, CZE, ESP, JPN, POL, SVK",6,10.73,0.7289,1,JPN,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
