members,size,sum_weight,ID
"AUT,BEL,DNK,ESP,FIN,FRA,HUN,IRL,ITA,PRT",10,520.0,1
"AUT,BEL,DNK,ESP,FIN,FRA,HUN,IRL,POL,PRT",10,518.0,2
"BEL,DNK,FIN,FRA,GBR,IRL,PRT",7,247.0,3
"AUT,BEL,DNK,ESP,HUN,ITA,SVK",7,246.0,4
"BEL,DNK,FIN,FRA,GBR,PRT,SWE",7,242.0,5
"AUT,BEL,FIN,FRA,NOR,POL,PRT",7,236.0,6
"BEL,DEU,FIN,FRA,GBR,PRT,SWE",7,235.0,7
"AUT,BEL,ESP,IRL,ITA,NLD",6,170.0,8
"AUT,BEL,CZE,ESP,POL,SVK",6,168.0,9
"BEL,CZE,ESP,JPN,POL,SVK",6,161.0,10
"HRV,MLT,ROU,RUS",4,68.0,11
"BGR,HRV,ROU",3,37.0,12
"EST,LTU,LVA",3,36.0,13
"DNK,ESP,SVN",3,33.0,14
"IDN,IND,TUR",3,33.0,15
"AUT,GRC,SVK",3,33.0,16
"CHE,ESP,SVK",3,33.0,17
"ISL,LTU,LVA",3,31.0,18
"MLT,PER,SAU",3,31.0,19
"CHE,GRC,KOR",3,31.0,20
"ARG,MLT,PER",3,30.0,21
"CZE,LUX,NOR",3,30.0,22
