Rank,Members,Size,Avg Weight,Variance,New_Node_Count,New_Nodes,Common_Policies
1,"DEU, FRA, GBR, ITA, NLD, PRT",6,12.13,0.7822,6,"DEU, FRA, GBR, ITA, NLD, PRT","Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
2,"BEL, FRA, GBR, ITA, NLD, PRT",6,12.07,0.7289,1,BEL,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
3,"BEL, CHE, FRA, GBR, ITA, NLD",6,12.07,0.7289,1,CHE,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
4,"AUT, BEL, CHE, ESP, ITA, NLD",6,11.93,0.9956,2,"AUT, ESP","Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
5,"FRA, IRL, ITA, NLD, PRT",5,12.1,0.69,1,IRL,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
6,"CAN, DEU, FRA, ITA, NLD",5,12.0,1.0,1,CAN,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
7,"BEL, CHE, ITA, JPN",4,12.5,0.25,1,JPN,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
8,"BEL, CHE, FIN, GBR",4,11.67,0.5556,1,FIN,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
9,"DEU, DNK, FIN, GBR",4,11.0,0.0,1,DNK,"Buildings – market-based instruments; Buildings – non market-based instruments; Climate governance; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
10,"BGR, HRV, ROU",3,12.33,0.2222,3,"BGR, HRV, ROU",Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Transport – non market-based instruments
11,"ARG, HRV, IDN",3,12.33,1.5556,2,"ARG, IDN",Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Transport – non market-based instruments
12,"ARG, IDN, MLT",3,12.33,1.5556,1,MLT,Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Transport – market-based instruments; Transport – non market-based instruments
13,"ARG, IDN, PER",3,12.33,1.5556,1,PER,Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; GHG emissions data and reporting; GHG emissions targets; Industry – non market-based instruments; International climate co-operation; Transport – market-based instruments; Transport – non market-based instruments
14,"ARG, IDN, ZAF",3,12.33,1.5556,1,ZAF,Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Transport – market-based instruments; Transport – non market-based instruments
15,"CZE, HUN, SVK",3,12.33,1.5556,3,"CZE, HUN, SVK","Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
16,"AUS, CAN, KOR",3,11.67,0.2222,2,"AUS, KOR","Buildings – market-based instruments; Buildings – non market-based instruments; Climate governance; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
17,"BGR, LVA, MLT",3,11.67,0.2222,1,LVA,Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Transport – market-based instruments; Transport – non market-based instruments
18,"COL, ISL, ZAF",3,11.67,0.8889,2,"COL, ISL",Buildings – market-based instruments; Buildings – non market-based instruments; Climate governance; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; International climate co-operation; Transport – market-based instruments; Transport – non market-based instruments
19,"GRC, LTU, LVA",3,11.33,0.2222,2,"GRC, LTU",Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Transport – market-based instruments; Transport – non market-based instruments
20,"DEU, GBR, SWE",3,11.0,0.0,1,SWE,"Buildings – market-based instruments; Buildings – non market-based instruments; Climate governance; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
