Rank,Unique Countries,Full Members,Node Count (Unique),Node Count (Total),Avg Weight,Variance,Score,Common_Policies_Intersection
1,"DEU, FRA, GBR, ITA, NLD, PRT","DEU, FRA, GBR, ITA, NLD, PRT",6,6,12.13,0.7822,1.2019,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
2,BEL,"BEL, FRA, GBR, ITA, NLD, PRT",1,6,12.07,0.7289,1.1924,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
3,CHE,"BEL, CHE, FRA, GBR, ITA, NLD",1,6,12.07,0.7289,1.1924,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
4,"AUT, ESP","AUT, BEL, CHE, ESP, ITA, NLD",2,6,11.93,0.9956,1.0533,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
5,JPN,"BEL, CHE, ITA, JPN",1,4,12.5,0.25,1.0196,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
6,IRL,"FRA, IRL, ITA, NLD, PRT",1,5,12.1,0.69,0.9682,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
7,CAN,"CAN, DEU, FRA, ITA, NLD",1,5,12.0,1.0,0.8286,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
8,"EST, LVA","EST, LVA",2,2,13.0,0.0,0.8,Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Transport – market-based instruments; Transport – non market-based instruments
9,"BGR, HRV, ROU","BGR, HRV, ROU",3,3,12.33,0.2222,0.7119,Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Transport – non market-based instruments
10,FIN,"BEL, CHE, FIN, GBR",1,4,11.67,0.5556,0.5881,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
11,DNK,"DEU, DNK, FIN, GBR",1,4,11.0,0.0,0.5,"Buildings – market-based instruments; Buildings – non market-based instruments; Climate governance; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
12,"AUS, KOR","AUS, CAN, KOR",2,3,11.67,0.2222,0.4452,"Buildings – market-based instruments; Buildings – non market-based instruments; Climate governance; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
13,MLT,"BGR, LVA, MLT",1,3,11.67,0.2222,0.4452,Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Transport – market-based instruments; Transport – non market-based instruments
