,ARG,AUS,AUT,BEL,BGR,CAN,CHE,CHL,CHN,COL,CRI,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JPN,KOR,LTU,LUX,LVA,MEX,MLT,NLD,NOR,NZL,PER,POL,PRT,ROU,RUS,SAU,SVK,SVN,SWE,TUR,ZAF
ARG,4,0,2,1,2,1,1,2,1,3,1,1,0,1,2,2,0,0,0,1,2,2,2,3,1,0,1,2,1,1,1,1,2,0,2,1,1,0,3,1,1,1,2,1,2,2,0,1,2
AUS,0,4,1,2,1,2,3,1,2,0,1,2,1,2,1,1,2,1,2,2,1,1,2,1,2,1,2,1,3,2,2,1,1,3,2,2,1,2,0,2,1,2,2,2,2,1,1,3,1
AUT,2,1,4,3,4,2,2,1,0,1,0,3,2,3,4,4,2,2,2,2,4,4,1,1,3,2,1,4,2,2,3,3,4,1,3,3,3,1,2,3,3,3,2,1,3,4,2,2,0
BEL,1,2,3,4,3,1,1,0,1,0,0,4,2,2,3,3,2,2,2,1,3,3,2,2,2,2,2,3,3,1,2,3,3,2,2,4,3,1,1,4,3,4,3,2,2,3,2,3,1
BGR,2,1,4,3,4,2,2,1,0,1,0,3,2,3,4,4,2,2,2,2,4,4,1,1,3,2,1,4,2,2,3,3,4,1,3,3,3,1,2,3,3,3,2,1,3,4,2,2,0
CAN,1,2,2,1,2,4,3,3,0,2,2,1,2,2,2,2,1,2,1,4,2,2,1,0,2,2,1,2,2,4,2,1,2,3,3,1,1,3,1,1,1,1,1,1,3,2,2,2,1
CHE,1,3,2,1,2,3,4,2,1,1,1,1,1,3,2,2,2,1,2,3,2,2,1,0,3,1,1,2,2,3,3,1,2,2,3,1,1,2,1,1,1,1,1,1,3,2,1,2,0
CHL,2,1,1,0,1,3,2,4,0,3,3,0,1,1,1,1,0,1,0,3,1,1,2,1,1,1,1,1,1,3,1,0,1,2,2,0,0,2,1,0,0,0,0,1,2,1,1,1,2
CHN,1,2,0,1,0,0,1,0,4,1,0,1,0,1,0,0,1,0,1,0,0,0,1,2,1,0,2,0,1,0,1,0,0,1,0,1,0,0,2,1,0,1,2,2,0,0,0,1,2
COL,3,0,1,0,1,2,1,3,1,4,2,0,1,1,1,1,0,1,0,2,1,1,1,2,1,1,0,1,0,2,1,0,1,1,1,0,0,1,2,0,0,0,1,0,1,1,1,0,3
CRI,1,1,0,0,0,2,1,3,0,2,4,0,2,0,0,0,1,2,1,2,0,0,2,1,0,2,1,0,1,2,0,1,0,2,1,0,1,3,0,0,1,0,0,1,1,0,2,1,2
CZE,1,2,3,4,3,1,1,0,1,0,0,4,2,2,3,3,2,2,2,1,3,3,2,2,2,2,2,3,3,1,2,3,3,2,2,4,3,1,1,4,3,4,3,2,2,3,2,3,1
DEU,0,1,2,2,2,2,1,1,0,1,2,2,4,2,2,2,3,4,3,2,2,2,0,0,2,4,0,2,1,2,2,3,2,2,1,2,3,3,0,2,3,2,1,0,1,2,4,1,1
DNK,1,2,3,2,3,2,3,1,1,1,0,2,2,4,3,3,3,2,3,2,3,3,0,0,4,2,0,3,1,2,4,2,3,1,2,2,2,1,1,2,2,2,1,0,2,3,2,1,0
ESP,2,1,4,3,4,2,2,1,0,1,0,3,2,3,4,4,2,2,2,2,4,4,1,1,3,2,1,4,2,2,3,3,4,1,3,3,3,1,2,3,3,3,2,1,3,4,2,2,0
EST,2,1,4,3,4,2,2,1,0,1,0,3,2,3,4,4,2,2,2,2,4,4,1,1,3,2,1,4,2,2,3,3,4,1,3,3,3,1,2,3,3,3,2,1,3,4,2,2,0
FIN,0,2,2,2,2,1,2,0,1,0,1,2,3,3,2,2,4,3,4,1,2,2,0,0,3,3,0,2,1,1,3,3,2,1,1,2,3,2,0,2,3,2,1,0,1,2,3,1,0
FRA,0,1,2,2,2,2,1,1,0,1,2,2,4,2,2,2,3,4,3,2,2,2,0,0,2,4,0,2,1,2,2,3,2,2,1,2,3,3,0,2,3,2,1,0,1,2,4,1,1
GBR,0,2,2,2,2,1,2,0,1,0,1,2,3,3,2,2,4,3,4,1,2,2,0,0,3,3,0,2,1,1,3,3,2,1,1,2,3,2,0,2,3,2,1,0,1,2,3,1,0
GRC,1,2,2,1,2,4,3,3,0,2,2,1,2,2,2,2,1,2,1,4,2,2,1,0,2,2,1,2,2,4,2,1,2,3,3,1,1,3,1,1,1,1,1,1,3,2,2,2,1
HRV,2,1,4,3,4,2,2,1,0,1,0,3,2,3,4,4,2,2,2,2,4,4,1,1,3,2,1,4,2,2,3,3,4,1,3,3,3,1,2,3,3,3,2,1,3,4,2,2,0
HUN,2,1,4,3,4,2,2,1,0,1,0,3,2,3,4,4,2,2,2,2,4,4,1,1,3,2,1,4,2,2,3,3,4,1,3,3,3,1,2,3,3,3,2,1,3,4,2,2,0
IDN,2,2,1,2,1,1,1,2,1,1,2,2,0,0,1,1,0,0,0,1,1,1,4,3,0,0,3,1,3,1,0,1,1,2,2,2,1,1,1,2,1,2,2,3,2,1,0,3,2
IND,3,1,1,2,1,0,0,1,2,2,1,2,0,0,1,1,0,0,0,0,1,1,3,4,0,0,2,1,2,0,0,1,1,1,1,2,1,0,2,2,1,2,3,2,1,1,0,2,3
IRL,1,2,3,2,3,2,3,1,1,1,0,2,2,4,3,3,3,2,3,2,3,3,0,0,4,2,0,3,1,2,4,2,3,1,2,2,2,1,1,2,2,2,1,0,2,3,2,1,0
ISL,0,1,2,2,2,2,1,1,0,1,2,2,4,2,2,2,3,4,3,2,2,2,0,0,2,4,0,2,1,2,2,3,2,2,1,2,3,3,0,2,3,2,1,0,1,2,4,1,1
ISR,1,2,1,2,1,1,1,1,2,0,1,2,0,0,1,1,0,0,0,1,1,1,3,2,0,0,4,1,3,1,0,1,1,2,2,2,1,1,2,2,1,2,2,4,2,1,0,3,1
ITA,2,1,4,3,4,2,2,1,0,1,0,3,2,3,4,4,2,2,2,2,4,4,1,1,3,2,1,4,2,2,3,3,4,1,3,3,3,1,2,3,3,3,2,1,3,4,2,2,0
JPN,1,3,2,3,2,2,2,1,1,0,1,3,1,1,2,2,1,1,1,2,2,2,3,2,1,1,3,2,4,2,1,2,2,3,3,3,2,2,1,3,2,3,3,3,3,2,1,4,1
