,ARG,AUS,AUT,BEL,BGR,CAN,CHE,CHL,CHN,COL,CRI,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JPN,KOR,LTU,LUX,LVA,MEX,MLT,NLD,NOR,NZL,PER,POL,PRT,ROU,RUS,SAU,SVK,SVN,SWE,TUR,ZAF
ARG,4,2,1,1,1,0,1,0,1,3,4,1,1,0,1,1,0,0,0,1,3,2,2,1,0,2,2,1,0,1,2,0,1,2,3,1,0,1,3,0,0,3,3,3,1,0,0,2,2
AUS,2,4,2,2,1,0,3,2,3,3,2,3,2,1,2,2,1,1,0,3,1,1,2,3,2,2,2,2,1,3,2,2,3,2,1,3,1,1,1,1,1,1,1,1,2,1,0,2,2
AUT,1,2,4,3,0,2,2,1,2,1,1,2,3,3,4,1,3,3,1,2,0,3,0,1,2,1,1,2,2,2,1,1,2,1,0,2,2,1,0,3,3,0,0,0,4,3,1,0,1
BEL,1,2,3,4,1,1,3,2,3,1,1,3,4,2,3,2,2,2,2,3,0,2,0,1,1,2,2,1,3,3,2,2,3,2,0,3,3,0,0,2,2,0,0,0,3,2,2,0,2
BGR,1,1,0,1,4,0,2,3,2,2,1,2,1,0,0,2,0,0,1,2,2,1,3,2,1,3,3,1,1,2,3,3,2,3,2,2,1,2,2,0,0,2,2,2,0,0,1,3,3
CAN,0,0,2,1,0,4,0,0,0,0,0,0,1,3,2,1,3,3,3,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,2,2,0,3,3,0,0,0,2,3,3,0,0
CHE,1,3,2,3,2,0,4,3,4,2,1,4,3,1,2,3,1,1,1,4,0,1,1,2,2,3,3,2,2,4,3,3,4,3,0,4,2,1,0,1,1,0,0,0,2,1,1,1,3
CHL,0,2,1,2,3,0,3,4,3,1,0,3,2,1,1,2,1,1,1,3,1,0,2,3,2,2,2,1,2,3,2,4,3,2,1,3,2,1,1,1,1,1,1,1,1,1,1,2,2
CHN,1,3,2,3,2,0,4,3,4,2,1,4,3,1,2,3,1,1,1,4,0,1,1,2,2,3,3,2,2,4,3,3,4,3,0,4,2,1,0,1,1,0,0,0,2,1,1,1,3
COL,3,3,1,1,2,0,2,1,2,4,3,2,1,0,1,2,0,0,0,2,2,2,3,2,1,3,3,2,0,2,3,1,2,3,2,2,0,2,2,0,0,2,2,2,1,0,0,3,3
CRI,4,2,1,1,1,0,1,0,1,3,4,1,1,0,1,1,0,0,0,1,3,2,2,1,0,2,2,1,0,1,2,0,1,2,3,1,0,1,3,0,0,3,3,3,1,0,0,2,2
CZE,1,3,2,3,2,0,4,3,4,2,1,4,3,1,2,3,1,1,1,4,0,1,1,2,2,3,3,2,2,4,3,3,4,3,0,4,2,1,0,1,1,0,0,0,2,1,1,1,3
DEU,1,2,3,4,1,1,3,2,3,1,1,3,4,2,3,2,2,2,2,3,0,2,0,1,1,2,2,1,3,3,2,2,3,2,0,3,3,0,0,2,2,0,0,0,3,2,2,0,2
