,ARG,AUS,AUT,BEL,BGR,CAN,CHE,CHL,CHN,COL,CRI,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JPN,KOR,LTU,LUX,LVA,MEX,MLT,NLD,NOR,NZL,PER,POL,PRT,ROU,RUS,SAU,SVK,SVN,SWE,TUR,ZAF
ARG,6,2,1,0,1,2,1,1,3,3,4,2,1,0,1,4,0,0,1,1,2,1,4,3,0,4,3,0,1,0,4,2,4,1,4,1,2,1,3,1,0,2,2,3,2,3,1,2,3
AUS,2,6,0,1,2,5,3,1,2,1,2,2,3,1,2,2,1,1,2,0,3,0,2,2,1,0,2,1,3,3,1,1,2,2,2,2,2,3,0,1,2,3,2,0,1,2,1,3,1
AUT,1,0,6,5,3,1,3,2,3,1,2,4,3,5,4,2,5,5,4,6,2,6,2,3,5,2,1,5,3,3,3,4,2,4,1,4,4,2,0,5,4,2,3,2,5,2,4,2,2
BEL,0,1,5,6,2,2,4,2,2,1,1,3,4,6,5,1,6,6,5,5,1,5,1,2,6,1,1,6,4,4,2,3,1,3,0,5,3,3,0,4,5,1,2,1,4,3,5,3,1
BGR,1,2,3,2,6,1,2,2,2,1,1,3,3,2,1,2,2,2,2,3,5,3,2,3,2,1,0,2,2,2,1,3,2,3,3,2,4,2,1,4,3,5,4,3,2,0,1,2,2
CAN,2,5,1,2,1,6,4,0,2,1,2,1,4,2,3,2,2,2,3,1,2,1,1,1,2,0,2,2,2,2,1,0,2,3,2,3,1,3,0,0,3,2,1,0,2,2,2,2,0
CHE,1,3,3,4,2,4,6,2,0,1,2,3,4,4,5,3,4,4,3,3,3,3,2,3,4,1,2,4,4,2,2,1,3,3,2,3,1,3,0,2,5,3,2,1,4,3,3,4,1
CHL,1,1,2,2,2,0,2,6,0,4,2,3,1,2,2,1,2,2,1,2,2,2,3,4,2,3,3,2,3,2,1,2,1,1,0,1,2,1,3,3,2,2,2,3,2,1,1,4,4
CHN,3,2,3,2,2,2,0,0,6,2,3,2,2,2,1,2,2,2,3,3,1,3,1,1,2,2,2,2,1,3,3,3,2,3,2,3,4,3,1,3,1,1,2,2,2,2,2,0,1
COL,3,1,1,1,1,1,1,4,2,6,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,3,3,1,1,0,1,0,1,0,1,2,2,1,4,1,1,1,0,4,1,1,0,2,2
