,ARG,AUS,AUT,BEL,BGR,CAN,CHE,CHL,CHN,COL,CRI,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JPN,KOR,LTU,LUX,LVA,MEX,MLT,NLD,NOR,NZL,PER,POL,PRT,ROU,RUS,SAU,SVK,SVN,SWE,TUR,ZAF
ARG,4,2,2,1,3,2,1,2,2,3,1,2,0,1,3,3,0,0,0,2,3,3,4,3,1,1,4,2,2,2,2,1,3,0,3,1,1,1,4,1,1,2,2,2,3,2,0,1,3
AUS,2,4,2,1,3,3,3,1,1,2,0,2,1,3,3,3,2,1,2,3,2,3,2,1,3,2,2,2,1,2,4,1,3,0,3,1,1,1,2,1,1,2,1,0,3,2,1,0,2
AUT,2,2,4,3,3,2,3,2,1,1,1,2,2,3,3,3,2,2,2,2,2,3,2,1,3,1,2,4,3,1,2,3,3,1,3,3,3,0,2,3,3,2,1,1,3,4,2,1,1
BEL,1,1,3,4,2,1,2,1,0,0,1,3,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,3,2,0,1,3,2,2,2,4,3,0,1,4,3,3,2,2,2,3,2,2,0
BGR,3,3,3,2,4,3,2,1,1,2,0,3,1,2,4,4,1,1,1,3,3,4,3,2,2,2,3,3,2,2,3,2,4,0,4,2,2,1,3,2,2,3,2,1,4,3,1,1,2
CAN,2,3,2,1,3,4,2,2,2,3,1,2,2,2,3,3,1,2,1,4,2,3,2,1,2,3,2,2,1,3,3,1,3,1,3,1,1,2,2,1,1,2,1,0,3,2,2,0,3
CHE,1,3,3,2,2,2,4,2,1,1,1,1,2,4,2,2,3,2,3,2,1,2,1,0,4,1,1,3,2,1,3,2,2,1,2,2,2,0,1,2,2,1,0,0,2,3,2,0,1
CHL,2,1,2,1,1,2,2,4,3,3,3,0,2,2,1,1,1,2,1,2,1,1,2,1,2,1,2,2,2,2,1,1,1,2,1,1,1,1,2,1,1,0,0,1,1,2,2,0,3
CHN,2,1,1,0,1,2,1,3,4,3,2,0,1,1,1,1,0,1,0,2,1,1,2,1,1,1,2,1,1,2,1,0,1,1,1,0,0,1,2,0,0,0,0,2,1,1,1,1,3
COL,3,2,1,0,2,3,1,3,3,4,2,1,1,1,2,2,0,1,0,3,2,2,3,2,1,2,3,1,1,3,2,0,2,1,2,0,0,2,3,0,0,1,1,1,2,1,1,0,4
CRI,1,0,1,1,0,1,1,3,2,2,4,0,3,1,0,0,2,3,2,1,0,0,1,1,1,2,1,1,1,1,0,2,0,2,0,1,2,2,1,1,2,0,0,1,0,1,3,0,2
CZE,2,2,2,3,3,2,1,0,0,1,0,4,1,1,3,3,1,1,1,2,2,3,2,3,1,2,2,2,1,1,2,2,3,1,3,3,2,1,2,3,2,4,3,2,3,2,1,2,1
DEU,0,1,2,2,1,2,2,2,1,1,3,1,4,2,1,1,3,4,3,2,0,1,0,0,2,3,0,2,1,1,1,3,1,2,1,2,3,2,0,2,3,1,0,0,1,2,4,0,1
DNK,1,3,3,2,2,2,4,2,1,1,1,1,2,4,2,2,3,2,3,2,1,2,1,0,4,1,1,3,2,1,3,2,2,1,2,2,2,0,1,2,2,1,0,0,2,3,2,0,1
ESP,3,3,3,2,4,3,2,1,1,2,0,3,1,2,4,4,1,1,1,3,3,4,3,2,2,2,3,3,2,2,3,2,4,0,4,2,2,1,3,2,2,3,2,1,4,3,1,1,2
EST,3,3,3,2,4,3,2,1,1,2,0,3,1,2,4,4,1,1,1,3,3,4,3,2,2,2,3,3,2,2,3,2,4,0,4,2,2,1,3,2,2,3,2,1,4,3,1,1,2
FIN,0,2,2,2,1,1,3,1,0,0,2,1,3,3,1,1,4,3,4,1,0,1,0,0,3,2,0,2,1,0,2,3,1,1,1,2,3,1,0,2,3,1,0,0,1,2,3,0,0
FRA,0,1,2,2,1,2,2,2,1,1,3,1,4,2,1,1,3,4,3,2,0,1,0,0,2,3,0,2,1,1,1,3,1,2,1,2,3,2,0,2,3,1,0,0,1,2,4,0,1
GBR,0,2,2,2,1,1,3,1,0,0,2,1,3,3,1,1,4,3,4,1,0,1,0,0,3,2,0,2,1,0,2,3,1,1,1,2,3,1,0,2,3,1,0,0,1,2,3,0,0
GRC,2,3,2,1,3,4,2,2,2,3,1,2,2,2,3,3,1,2,1,4,2,3,2,1,2,3,2,2,1,3,3,1,3,1,3,1,1,2,2,1,1,2,1,0,3,2,2,0,3
HRV,3,2,2,1,3,2,1,1,1,2,0,2,0,1,3,3,0,0,0,2,4,3,3,2,1,1,3,2,3,3,2,1,3,1,3,1,1,2,3,1,1,2,3,1,3,2,0,2,2
HUN,3,3,3,2,4,3,2,1,1,2,0,3,1,2,4,4,1,1,1,3,3,4,3,2,2,2,3,3,2,2,3,2,4,0,4,2,2,1,3,2,2,3,2,1,4,3,1,1,2
IDN,4,2,2,1,3,2,1,2,2,3,1,2,0,1,3,3,0,0,0,2,3,3,4,3,1,1,4,2,2,2,2,1,3,0,3,1,1,1,4,1,1,2,2,2,3,2,0,1,3
IND,3,1,1,2,2,1,0,1,1,2,1,3,0,0,2,2,0,0,0,1,2,2,3,4,0,1,3,1,1,1,1,1,2,1,2,2,1,1,3,2,1,3,3,3,2,1,0,2,2
IRL,1,3,3,2,2,2,4,2,1,1,1,1,2,4,2,2,3,2,3,2,1,2,1,0,4,1,1,3,2,1,3,2,2,1,2,2,2,0,1,2,2,1,0,0,2,3,2,0,1
ISL,1,2,1,1,2,3,1,1,1,2,2,2,3,1,2,2,2,3,2,3,1,2,1,1,1,4,1,1,0,2,2,2,2,1,2,1,2,3,1,1,2,2,1,0,2,1,3,0,2
ISR,4,2,2,1,3,2,1,2,2,3,1,2,0,1,3,3,0,0,0,2,3,3,4,3,1,1,4,2,2,2,2,1,3,0,3,1,1,1,4,1,1,2,2,2,3,2,0,1,3
ITA,2,2,4,3,3,2,3,2,1,1,1,2,2,3,3,3,2,2,2,2,2,3,2,1,3,1,2,4,3,1,2,3,3,1,3,3,3,0,2,3,3,2,1,1,3,4,2,1,1
