,ARG,AUS,AUT,BEL,BGR,CAN,CHE,CHL,CHN,COL,CRI,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JPN,KOR,LTU,LUX,LVA,MEX,MLT,NLD,NOR,NZL,PER,POL,PRT,ROU,RUS,SAU,SVK,SVN,SWE,TUR,ZAF
ARG,4,1,0,0,3,0,0,1,2,2,4,0,0,1,0,2,1,0,0,2,4,1,4,1,1,1,0,0,0,0,2,1,3,2,4,0,0,1,3,0,0,3,3,3,1,0,0,2,2
AUS,1,4,1,3,2,2,3,4,3,3,1,2,1,0,2,3,1,2,2,1,1,1,1,4,1,2,3,2,3,3,1,4,2,3,1,2,1,2,1,3,2,2,1,1,1,2,1,3,3
AUT,0,1,4,2,0,3,2,1,0,0,0,3,4,2,3,1,2,3,2,1,0,2,0,1,2,1,2,3,2,2,1,1,0,0,0,3,3,1,0,2,3,0,0,0,2,3,3,0,0
BEL,0,3,2,4,1,3,4,3,2,2,0,3,2,0,3,2,2,3,2,2,0,2,0,3,2,3,4,3,4,4,2,3,1,2,0,3,1,3,0,4,3,1,0,0,2,3,1,2,2
BGR,3,2,0,1,4,0,1,2,3,3,3,0,0,1,0,3,2,0,0,3,3,1,3,2,1,2,1,0,1,1,3,2,4,3,3,0,0,2,2,1,0,4,2,2,1,0,0,3,3
CAN,0,2,3,3,0,4,3,2,1,1,0,4,3,1,4,1,1,4,3,1,0,3,0,2,3,2,3,4,3,3,1,2,0,1,0,4,2,2,0,3,4,0,0,0,3,4,2,1,1
CHE,0,3,2,4,1,3,4,3,2,2,0,3,2,0,3,2,2,3,2,2,0,2,0,3,2,3,4,3,4,4,2,3,1,2,0,3,1,3,0,4,3,1,0,0,2,3,1,2,2
CHL,1,4,1,3,2,2,3,4,3,3,1,2,1,0,2,3,1,2,2,1,1,1,1,4,1,2,3,2,3,3,1,4,2,3,1,2,1,2,1,3,2,2,1,1,1,2,1,3,3
CHN,2,3,0,2,3,1,2,3,4,4,2,1,0,1,1,2,2,1,1,2,2,2,2,3,2,3,2,1,2,2,2,3,3,4,2,1,0,3,1,2,1,3,1,1,2,1,0,4,4
COL,2,3,0,2,3,1,2,3,4,4,2,1,0,1,1,2,2,1,1,2,2,2,2,3,2,3,2,1,2,2,2,3,3,4,2,1,0,3,1,2,1,3,1,1,2,1,0,4,4
CRI,4,1,0,0,3,0,0,1,2,2,4,0,0,1,0,2,1,0,0,2,4,1,4,1,1,1,0,0,0,0,2,1,3,2,4,0,0,1,3,0,0,3,3,3,1,0,0,2,2
CZE,0,2,3,3,0,4,3,2,1,1,0,4,3,1,4,1,1,4,3,1,0,3,0,2,3,2,3,4,3,3,1,2,0,1,0,4,2,2,0,3,4,0,0,0,3,4,2,1,1
DEU,0,1,4,2,0,3,2,1,0,0,0,3,4,2,3,1,2,3,2,1,0,2,0,1,2,1,2,3,2,2,1,1,0,0,0,3,3,1,0,2,3,0,0,0,2,3,3,0,0
DNK,1,0,2,0,1,1,0,0,1,1,1,1,2,4,1,0,2,1,2,1,1,2,1,0,2,1,0,1,0,0,1,0,1,1,1,1,3,1,0,0,1,1,0,0,2,1,3,1,1
ESP,0,2,3,3,0,4,3,2,1,1,0,4,3,1,4,1,1,4,3,1,0,3,0,2,3,2,3,4,3,3,1,2,0,1,0,4,2,2,0,3,4,0,0,0,3,4,2,1,1
EST,2,3,1,2,3,1,2,3,2,2,2,1,1,0,1,4,1,1,1,2,2,0,2,3,0,1,2,1,2,2,2,3,3,2,2,1,1,1,2,2,1,3,2,2,0,1,1,2,2
FIN,1,1,2,2,2,1,2,1,2,2,1,1,2,2,1,1,4,1,0,3,1,2,1,1,2,3,2,1,2,2,3,1,2,2,1,1,1,3,0,2,1,2,0,0,2,1,1,2,2
FRA,0,2,3,3,0,4,3,2,1,1,0,4,3,1,4,1,1,4,3,1,0,3,0,2,3,2,3,4,3,3,1,2,0,1,0,4,2,2,0,3,4,0,0,0,3,4,2,1,1
GBR,0,2,2,2,0,3,2,2,1,1,0,3,2,2,3,1,0,3,4,0,0,2,0,2,2,1,2,3,2,2,0,2,0,1,0,3,3,1,0,2,3,0,0,0,2,3,3,1,1
GRC,2,1,1,2,3,1,2,1,2,2,2,1,1,1,1,2,3,1,0,4,2,2,2,1,2,3,2,1,2,2,4,1,3,2,2,1,0,3,1,2,1,3,1,1,2,1,0,2,2
HRV,4,1,0,0,3,0,0,1,2,2,4,0,0,1,0,2,1,0,0,2,4,1,4,1,1,1,0,0,0,0,2,1,3,2,4,0,0,1,3,0,0,3,3,3,1,0,0,2,2
HUN,1,1,2,2,1,3,2,1,2,2,1,3,2,2,3,0,2,3,2,2,1,4,1,1,4,3,2,3,2,2,2,1,1,2,1,3,1,3,0,2,3,1,0,0,4,3,1,2,2
IDN,4,1,0,0,3,0,0,1,2,2,4,0,0,1,0,2,1,0,0,2,4,1,4,1,1,1,0,0,0,0,2,1,3,2,4,0,0,1,3,0,0,3,3,3,1,0,0,2,2
IND,1,4,1,3,2,2,3,4,3,3,1,2,1,0,2,3,1,2,2,1,1,1,1,4,1,2,3,2,3,3,1,4,2,3,1,2,1,2,1,3,2,2,1,1,1,2,1,3,3
IRL,1,1,2,2,1,3,2,1,2,2,1,3,2,2,3,0,2,3,2,2,1,4,1,1,4,3,2,3,2,2,2,1,1,2,1,3,1,3,0,2,3,1,0,0,4,3,1,2,2
ISL,1,2,1,3,2,2,3,2,3,3,1,2,1,1,2,1,3,2,1,3,1,3,1,2,3,4,3,2,3,3,3,2,2,3,1,2,0,4,0,3,2,2,0,0,3,2,0,3,3
ISR,0,3,2,4,1,3,4,3,2,2,0,3,2,0,3,2,2,3,2,2,0,2,0,3,2,3,4,3,4,4,2,3,1,2,0,3,1,3,0,4,3,1,0,0,2,3,1,2,2
ITA,0,2,3,3,0,4,3,2,1,1,0,4,3,1,4,1,1,4,3,1,0,3,0,2,3,2,3,4,3,3,1,2,0,1,0,4,2,2,0,3,4,0,0,0,3,4,2,1,1
JPN,0,3,2,4,1,3,4,3,2,2,0,3,2,0,3,2,2,3,2,2,0,2,0,3,2,3,4,3,4,4,2,3,1,2,0,3,1,3,0,4,3,1,0,0,2,3,1,2,2
KOR,0,3,2,4,1,3,4,3,2,2,0,3,2,0,3,2,2,3,2,2,0,2,0,3,2,3,4,3,4,4,2,3,1,2,0,3,1,3,0,4,3,1,0,0,2,3,1,2,2
LTU,2,1,1,2,3,1,2,1,2,2,2,1,1,1,1,2,3,1,0,4,2,2,2,1,2,3,2,1,2,2,4,1,3,2,2,1,0,3,1,2,1,3,1,1,2,1,0,2,2
LUX,1,4,1,3,2,2,3,4,3,3,1,2,1,0,2,3,1,2,2,1,1,1,1,4,1,2,3,2,3,3,1,4,2,3,1,2,1,2,1,3,2,2,1,1,1,2,1,3,3
LVA,3,2,0,1,4,0,1,2,3,3,3,0,0,1,0,3,2,0,0,3,3,1,3,2,1,2,1,0,1,1,3,2,4,3,3,0,0,2,2,1,0,4,2,2,1,0,0,3,3
MEX,2,3,0,2,3,1,2,3,4,4,2,1,0,1,1,2,2,1,1,2,2,2,2,3,2,3,2,1,2,2,2,3,3,4,2,1,0,3,1,2,1,3,1,1,2,1,0,4,4
MLT,4,1,0,0,3,0,0,1,2,2,4,0,0,1,0,2,1,0,0,2,4,1,4,1,1,1,0,0,0,0,2,1,3,2,4,0,0,1,3,0,0,3,3,3,1,0,0,2,2
NLD,0,2,3,3,0,4,3,2,1,1,0,4,3,1,4,1,1,4,3,1,0,3,0,2,3,2,3,4,3,3,1,2,0,1,0,4,2,2,0,3,4,0,0,0,3,4,2,1,1
NOR,0,1,3,1,0,2,1,1,0,0,0,2,3,3,2,1,1,2,3,0,0,1,0,1,1,0,1,2,1,1,0,1,0,0,0,2,4,0,0,1,2,0,0,0,1,2,4,0,0
NZL,1,2,1,3,2,2,3,2,3,3,1,2,1,1,2,1,3,2,1,3,1,3,1,2,3,4,3,2,3,3,3,2,2,3,1,2,0,4,0,3,2,2,0,0,3,2,0,3,3
PER,3,1,0,0,2,0,0,1,1,1,3,0,0,0,0,2,0,0,0,1,3,0,3,1,0,0,0,0,0,0,1,1,2,1,3,0,0,0,4,0,0,2,4,4,0,0,0,1,1
POL,0,3,2,4,1,3,4,3,2,2,0,3,2,0,3,2,2,3,2,2,0,2,0,3,2,3,4,3,4,4,2,3,1,2,0,3,1,3,0,4,3,1,0,0,2,3,1,2,2
PRT,0,2,3,3,0,4,3,2,1,1,0,4,3,1,4,1,1,4,3,1,0,3,0,2,3,2,3,4,3,3,1,2,0,1,0,4,2,2,0,3,4,0,0,0,3,4,2,1,1
ROU,3,2,0,1,4,0,1,2,3,3,3,0,0,1,0,3,2,0,0,3,3,1,3,2,1,2,1,0,1,1,3,2,4,3,3,0,0,2,2,1,0,4,2,2,1,0,0,3,3
RUS,3,1,0,0,2,0,0,1,1,1,3,0,0,0,0,2,0,0,0,1,3,0,3,1,0,0,0,0,0,0,1,1,2,1,3,0,0,0,4,0,0,2,4,4,0,0,0,1,1
SAU,3,1,0,0,2,0,0,1,1,1,3,0,0,0,0,2,0,0,0,1,3,0,3,1,0,0,0,0,0,0,1,1,2,1,3,0,0,0,4,0,0,2,4,4,0,0,0,1,1
SVK,1,1,2,2,1,3,2,1,2,2,1,3,2,2,3,0,2,3,2,2,1,4,1,1,4,3,2,3,2,2,2,1,1,2,1,3,1,3,0,2,3,1,0,0,4,3,1,2,2
SVN,0,2,3,3,0,4,3,2,1,1,0,4,3,1,4,1,1,4,3,1,0,3,0,2,3,2,3,4,3,3,1,2,0,1,0,4,2,2,0,3,4,0,0,0,3,4,2,1,1
SWE,0,1,3,1,0,2,1,1,0,0,0,2,3,3,2,1,1,2,3,0,0,1,0,1,1,0,1,2,1,1,0,1,0,0,0,2,4,0,0,1,2,0,0,0,1,2,4,0,0
