,ARG,AUS,AUT,BEL,BGR,CAN,CHE,CHL,CHN,COL,CRI,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JPN,KOR,LTU,LUX,LVA,MEX,MLT,NLD,NOR,NZL,PER,POL,PRT,ROU,RUS,SAU,SVK,SVN,SWE,TUR,ZAF
ARG,6,1,2,1,2,1,1,3,2,4,5,2,1,1,1,3,1,1,1,2,3,2,5,3,1,5,4,1,1,1,4,3,3,3,3,1,1,2,3,1,1,3,3,4,3,3,2,2,6
AUS,1,6,4,5,1,5,5,2,2,1,2,2,4,4,5,2,5,4,5,3,0,2,0,0,4,1,1,5,4,6,1,3,2,3,1,4,3,4,0,1,4,0,2,0,1,2,4,3,1
AUT,2,4,6,5,3,3,5,1,4,1,2,4,4,4,5,3,5,4,5,5,2,4,1,2,4,2,2,5,4,4,2,4,3,3,2,4,5,2,0,3,4,2,3,2,3,1,3,3,2
BEL,1,5,5,6,2,4,6,1,3,1,1,3,5,5,6,2,6,5,6,4,1,3,0,1,5,1,2,6,5,5,1,3,2,2,1,5,4,3,0,2,5,1,2,1,2,2,4,4,1
BGR,2,1,3,2,6,1,2,2,4,1,2,4,2,2,2,3,2,2,2,3,5,4,3,5,2,2,2,2,3,1,2,3,3,4,3,2,3,1,2,5,2,5,3,4,3,1,2,4,2
CAN,1,5,3,4,1,6,4,2,3,1,2,3,5,5,4,3,4,5,4,4,0,3,0,0,5,1,1,4,3,5,2,2,3,3,2,5,2,5,0,2,5,0,1,0,2,3,3,3,1
CHE,1,5,5,6,2,4,6,1,3,1,1,3,5,5,6,2,6,5,6,4,1,3,0,1,5,1,2,6,5,5,1,3,2,2,1,5,4,3,0,2,5,1,2,1,2,2,4,4,1
CHL,3,2,1,1,2,2,1,6,2,3,4,2,1,1,1,2,1,1,1,1,3,2,2,3,1,2,4,1,2,2,3,2,2,4,0,1,0,2,2,1,1,3,0,2,3,3,2,3,3
CHN,2,2,4,3,4,3,3,2,6,1,2,6,4,4,3,5,3,4,3,5,3,6,1,3,4,2,2,3,4,2,4,4,5,4,3,4,3,3,0,5,4,3,2,2,5,3,3,4,2
COL,4,1,1,1,1,1,1,3,1,6,3,1,1,1,1,2,1,1,1,1,1,1,3,1,1,5,4,1,1,1,2,2,2,2,2,1,0,2,5,0,1,1,2,2,1,2,2,2,4
CRI,5,2,2,1,2,2,1,4,2,3,6,2,1,1,1,2,1,1,1,2,3,2,4,3,1,4,4,1,1,2,3,2,2,4,2,1,1,3,2,1,1,3,2,4,3,2,1,2,5
CZE,2,2,4,3,4,3,3,2,6,1,2,6,4,4,3,5,3,4,3,5,3,6,1,3,4,2,2,3,4,2,4,4,5,4,3,4,3,3,0,5,4,3,2,2,5,3,3,4,2
DEU,1,4,4,5,2,5,5,1,4,1,1,4,6,6,5,3,5,6,5,5,1,4,0,1,6,1,2,5,4,4,2,2,3,2,2,6,3,4,0,3,6,1,1,1,3,3,3,4,1
DNK,1,4,4,5,2,5,5,1,4,1,1,4,6,6,5,3,5,6,5,5,1,4,0,1,6,1,2,5,4,4,2,2,3,2,2,6,3,4,0,3,6,1,1,1,3,3,3,4,1
ESP,1,5,5,6,2,4,6,1,3,1,1,3,5,5,6,2,6,5,6,4,1,3,0,1,5,1,2,6,5,5,1,3,2,2,1,5,4,3,0,2,5,1,2,1,2,2,4,4,1
EST,3,2,3,2,3,3,2,2,5,2,2,5,3,3,2,6,2,3,2,4,2,5,2,2,3,3,1,2,3,2,5,5,6,4,4,3,2,3,1,4,3,2,3,1,4,4,4,3,3
FIN,1,5,5,6,2,4,6,1,3,1,1,3,5,5,6,2,6,5,6,4,1,3,0,1,5,1,2,6,5,5,1,3,2,2,1,5,4,3,0,2,5,1,2,1,2,2,4,4,1
FRA,1,4,4,5,2,5,5,1,4,1,1,4,6,6,5,3,5,6,5,5,1,4,0,1,6,1,2,5,4,4,2,2,3,2,2,6,3,4,0,3,6,1,1,1,3,3,3,4,1
GBR,1,5,5,6,2,4,6,1,3,1,1,3,5,5,6,2,6,5,6,4,1,3,0,1,5,1,2,6,5,5,1,3,2,2,1,5,4,3,0,2,5,1,2,1,2,2,4,4,1
GRC,2,3,5,4,3,4,4,1,5,1,2,5,5,5,4,4,4,5,4,6,2,5,1,2,5,2,2,4,3,3,3,3,4,3,3,5,4,3,0,4,5,2,2,2,4,2,2,3,2
HRV,3,0,2,1,5,0,1,3,3,1,3,3,1,1,1,2,1,1,1,2,6,3,4,6,1,2,3,1,2,0,3,2,2,3,2,1,2,0,2,4,1,6,2,5,4,2,1,3,3
HUN,2,2,4,3,4,3,3,2,6,1,2,6,4,4,3,5,3,4,3,5,3,6,1,3,4,2,2,3,4,2,4,4,5,4,3,4,3,3,0,5,4,3,2,2,5,3,3,4,2
IDN,5,0,1,0,3,0,0,2,1,3,4,1,0,0,0,2,0,0,0,1,4,1,6,4,0,4,3,0,0,0,3,2,2,2,4,0,1,1,4,2,0,4,4,5,2,2,1,1,5
IND,3,0,2,1,5,0,1,3,3,1,3,3,1,1,1,2,1,1,1,2,6,3,4,6,1,2,3,1,2,0,3,2,2,3,2,1,2,0,2,4,1,6,2,5,4,2,1,3,3
IRL,1,4,4,5,2,5,5,1,4,1,1,4,6,6,5,3,5,6,5,5,1,4,0,1,6,1,2,5,4,4,2,2,3,2,2,6,3,4,0,3,6,1,1,1,3,3,3,4,1
ISL,5,1,2,1,2,1,1,2,2,5,4,2,1,1,1,3,1,1,1,2,2,2,4,2,1,6,3,1,1,1,3,3,3,3,3,1,1,2,4,1,1,2,3,3,2,2,2,2,5
ISR,4,1,2,2,2,1,2,4,2,4,4,2,2,2,2,1,2,2,2,2,3,2,3,3,2,3,6,2,2,1,2,1,1,2,1,2,1,2,3,1,2,3,1,4,3,2,1,3,4
ITA,1,5,5,6,2,4,6,1,3,1,1,3,5,5,6,2,6,5,6,4,1,3,0,1,5,1,2,6,5,5,1,3,2,2,1,5,4,3,0,2,5,1,2,1,2,2,4,4,1
JPN,1,4,4,5,3,3,5,2,4,1,1,4,4,4,5,3,5,4,5,3,2,4,0,2,4,1,2,5,6,4,2,4,3,3,1,4,3,3,0,3,4,2,2,1,3,3,5,5,1
