共识ID,配色HEX,国家数,国家列表,簇内平均重叠
1,#3e95d2,3,"DEU, GBR, SWE",12.33
2,#47c247,5,"DNK, FIN, FRA, IRL, PRT",13.32
3,#b295cc,6,"BEL, CZE, JPN, NLD, NOR, POL",11.39
4,#a9766b,5,"AUT, ESP, HUN, ITA, SVK",12.84
5,#e9aed7,1,SVN,15.00
6,#9e9e9e,2,"ISL, ZAF",13.00
7,#d2d349,3,"COL, CRI, ISR",10.33
8,#45d0df,1,CHL,15.00
9,#3e95d2,4,"ARG, MLT, PER, SAU",11.12
10,#47c247,2,"IDN, IND",13.50
11,#b295cc,3,"HRV, ROU, RUS",12.78
12,#a9766b,2,"BGR, LUX",12.50
13,#e9aed7,3,"EST, LTU, LVA",13.00
14,#9e9e9e,2,"CHN, MEX",11.00
15,#d2d349,2,"AUS, TUR",12.00
16,#45d0df,2,"CAN, NZL",12.00
17,#3e95d2,3,"CHE, GRC, KOR",11.89
