Threshold条件,等价最小重叠,共识ID,核心-边缘,配色HEX,国家数,国家列表,簇内最小重叠(非对角),簇内平均重叠(非对角),阈值校验(最小重叠>=等价门槛)
"Overlap ∈ (7, +∞]  (等价: Overlap ≥ 8)",8,1,Core,#3e95d2,11,"AUT, DNK, ESP, FIN, FRA, HUN, IRL, ITA, PRT, SVK, SVN",8.0,11.00,True
"Overlap ∈ (7, +∞]  (等价: Overlap ≥ 8)",8,2,Core,#47c247,4,"CZE, JPN, NOR, POL",10.0,10.83,True
"Overlap ∈ (7, +∞]  (等价: Overlap ≥ 8)",8,3,Core,#b295cc,5,"BEL, DEU, GBR, NLD, SWE",8.0,10.60,True
"Overlap ∈ (7, +∞]  (等价: Overlap ≥ 8)",8,4,Core,#a9766b,2,"AUS, CHE",10.0,10.00,True
"Overlap ∈ (7, +∞]  (等价: Overlap ≥ 8)",8,5,Core,#e9aed7,2,"CAN, NZL",9.0,9.00,True
"Overlap ∈ (7, +∞]  (等价: Overlap ≥ 8)",8,6,Core,#9e9e9e,4,"EST, LTU, LUX, LVA",8.0,10.33,True
"Overlap ∈ (7, +∞]  (等价: Overlap ≥ 8)",8,7,Core,#d2d349,3,"GRC, KOR, MEX",9.0,10.00,True
"Overlap ∈ (7, +∞]  (等价: Overlap ≥ 8)",8,8,Periphery,#45d0df,1,CHN,,,True
"Overlap ∈ (7, +∞]  (等价: Overlap ≥ 8)",8,9,Core,#3e95d2,5,"BGR, HRV, MLT, ROU, RUS",9.0,10.90,True
"Overlap ∈ (7, +∞]  (等价: Overlap ≥ 8)",8,10,Core,#47c247,3,"IDN, IND, TUR",10.0,11.00,True
"Overlap ∈ (7, +∞]  (等价: Overlap ≥ 8)",8,11,Periphery,#b295cc,1,CHL,,,True
"Overlap ∈ (7, +∞]  (等价: Overlap ≥ 8)",8,12,Core,#a9766b,4,"CRI, ISL, ISR, ZAF",8.0,8.83,True
"Overlap ∈ (7, +∞]  (等价: Overlap ≥ 8)",8,13,Core,#e9aed7,2,"ARG, COL",10.0,10.00,True
"Overlap ∈ (7, +∞]  (等价: Overlap ≥ 8)",8,14,Core,#9e9e9e,2,"PER, SAU",11.0,11.00,True
