共识ID,配色HEX,国家数,国家列表,簇内平均重叠
1,#3e95d2,8,"AUT, BEL, CHE, ESP, ITA, JPN, NLD, PRT",11.94
2,#47c247,7,"CAN, DEU, DNK, FIN, FRA, GBR, IRL",11.24
3,#b295cc,2,"NOR, SWE",12.50
4,#a9766b,2,"AUS, KOR",13.50
5,#e9aed7,1,NZL,15.00
6,#9e9e9e,4,"CZE, LUX, POL, SVN",10.50
7,#d2d349,3,"GRC, HUN, SVK",12.33
8,#45d0df,3,"EST, LTU, LVA",12.78
9,#3e95d2,3,"ARG, IDN, MLT",13.22
10,#47c247,3,"PER, RUS, SAU",11.67
11,#b295cc,4,"BGR, HRV, IND, ROU",12.38
12,#a9766b,3,"CHN, MEX, TUR",11.89
13,#e9aed7,2,"CHL, ISR",12.50
14,#9e9e9e,4,"COL, CRI, ISL, ZAF",11.38
