Threshold条件,等价最小重叠,共识ID,核心-边缘,配色HEX,国家数,国家列表,簇内最小重叠(非对角),簇内平均重叠(非对角),阈值校验(最小重叠>=等价门槛)
Overlap > 10,11,1,Core,#3e95d2,2,"HUN, SVK",14.0,14.00,True
Overlap > 10,11,2,Periphery,#47c247,1,SVN,,,True
Overlap > 10,11,3,Core,#b295cc,2,"GRC, LTU",11.0,11.00,True
Overlap > 10,11,4,Core,#a9766b,2,"CAN, ESP",11.0,11.00,True
Overlap > 10,11,5,Core,#e9aed7,2,"AUS, KOR",12.0,12.00,True
Overlap > 10,11,6,Periphery,#9e9e9e,1,NZL,,,True
Overlap > 10,11,7,Core,#d2d349,2,"EST, LVA",13.0,13.00,True
Overlap > 10,11,8,Periphery,#45d0df,1,LUX,,,True
Overlap > 10,11,9,Periphery,#3e95d2,1,ISR,,,True
Overlap > 10,11,10,Periphery,#47c247,1,CHL,,,True
Overlap > 10,11,11,Core,#b295cc,2,"MEX, TUR",11.0,11.00,True
Overlap > 10,11,12,Periphery,#a9766b,1,CHN,,,True
Overlap > 10,11,13,Core,#e9aed7,4,"DEU, FRA, NLD, PRT",12.0,12.83,True
Overlap > 10,11,14,Core,#9e9e9e,2,"DNK, IRL",12.0,12.00,True
Overlap > 10,11,15,Core,#d2d349,2,"FIN, GBR",11.0,11.00,True
Overlap > 10,11,16,Periphery,#45d0df,1,SWE,,,True
Overlap > 10,11,17,Periphery,#3e95d2,1,NOR,,,True
Overlap > 10,11,18,Core,#47c247,3,"BEL, CHE, JPN",12.0,12.33,True
Overlap > 10,11,19,Core,#b295cc,2,"AUT, ITA",13.0,13.00,True
Overlap > 10,11,20,Core,#a9766b,2,"CZE, POL",11.0,11.00,True
Overlap > 10,11,21,Core,#e9aed7,3,"BGR, HRV, ROU",12.0,12.33,True
Overlap > 10,11,22,Core,#9e9e9e,3,"ARG, IDN, MLT",11.0,12.33,True
Overlap > 10,11,23,Periphery,#d2d349,1,RUS,,,True
Overlap > 10,11,24,Periphery,#45d0df,1,PER,,,True
Overlap > 10,11,25,Periphery,#3e95d2,1,IND,,,True
Overlap > 10,11,26,Periphery,#47c247,1,SAU,,,True
Overlap > 10,11,27,Core,#b295cc,3,"COL, ISL, ZAF",11.0,11.67,True
Overlap > 10,11,28,Periphery,#a9766b,1,CRI,,,True
