Threshold条件,等价最小重叠,共识ID,核心-边缘,配色HEX,国家数,国家列表,簇内最小重叠(非对角),簇内平均重叠(非对角),阈值校验(最小重叠>=等价门槛)
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,1,Core,#3e95d2,2,"HUN, SVK",14.0,14.00,True
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,2,Periphery,#47c247,1,SVN,,,True
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,3,Core,#b295cc,2,"GRC, LTU",11.0,11.00,True
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,4,Core,#a9766b,4,"AUS, CAN, ESP, KOR",10.0,11.00,True
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,5,Periphery,#e9aed7,1,NZL,,,True
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,6,Core,#9e9e9e,3,"EST, LUX, LVA",10.0,11.00,True
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,7,Core,#d2d349,2,"CHL, ISR",10.0,10.00,True
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,8,Core,#45d0df,3,"CHN, MEX, TUR",10.0,10.33,True
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,9,Core,#3e95d2,4,"DEU, FRA, NLD, PRT",12.0,12.83,True
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,10,Core,#47c247,4,"DNK, FIN, GBR, IRL",10.0,10.83,True
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,11,Core,#b295cc,2,"NOR, SWE",10.0,10.00,True
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,12,Core,#a9766b,5,"AUT, BEL, CHE, ITA, JPN",10.0,12.00,True
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,13,Core,#e9aed7,2,"CZE, POL",11.0,11.00,True
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,14,Core,#9e9e9e,3,"BGR, HRV, ROU",12.0,12.33,True
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,15,Core,#d2d349,3,"ARG, IDN, MLT",11.0,12.33,True
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,16,Core,#45d0df,2,"PER, RUS",10.0,10.00,True
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,17,Core,#3e95d2,2,"IND, SAU",10.0,10.00,True
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,18,Core,#47c247,3,"COL, ISL, ZAF",11.0,11.67,True
"Overlap ∈ (9, +∞]  (等价: Overlap ≥ 10)",10,19,Periphery,#b295cc,1,CRI,,,True
